	Id	Location	Area	Region	Number_of_Rooms	House_Type	House_Price	isSold	Sold_Date	Distance_from_City_inMiles	Seller	PostalCode	Number_of_Bedrooms	Number_of_Bathrooms	Number_of_CarParkings	Area_of_Land_inMeters	Height_of_Building_inMeters	Year_Built	Lattitude	Longtitude
0	8505	Location 105	Area 5	Region 2	4	other	2165000	NotSold	06-05-2017	8.0	Seller 4	83	4	2	2.0	450	190.0	1910.0	-37.861	144.8985
1	5523	Location 88	Area 11	Region 2	2	other	815000	Sold	30-07-2016	6.6	Seller 25	42	2	1	0.0	172	81.0	1900.0	-37.81	144.8896
2	12852	Location 96	Area 20	Region 2	3	other	610000	NotSold	16-09-2017	10.5	Seller 31	77	3	1	1.0	581			-37.7674	144.82421
3	4818	Location 83	Area 6	Region 3	3	townhouse	1245000	NotSold	06-08-2016	4.5	Seller 9	69	2	2	1.0	128	134.0	2000.0	-37.8526	145.0071
4	12812	Location 81	Area 20	Region 1	3	other	1160000	Sold	16-09-2017	8.5	Seller 2	67	3	2	2.0	480			-37.72523	144.94567
5	2153	Location 37	Area 14	Region 4	4	other	1250000	NotSold	14-05-2016	13.9	Seller 45	34	4	2	3.0	767		1963.0	-37.7735	145.1044
6	9903	Location 233	Area 19	Region 1	4	other	715000	Sold	24-06-2017	20.4	Seller 81	158	4	2	2.0	680	230.0	2011.0	-37.61236	144.90753
7	5105	Location 85	Area 4	Region 1	3	other	812000	Sold	12-06-2016	11.2	Seller 43	71	3	1	2.0	696		1950.0	-37.7223	145.0126
8	6107	Location 97	Area 18	Region 2	3	other	750500	Sold	28-08-2016	13.5	Seller 33	77	3	2	6.0	805	181.0	1995.0	-37.7966	144.7928
9	8876	Location 188	Area 27	Region 1	3	other	610000	Sold	01-07-2017	17.9	Seller 43	127	3	1	1.0	560			-37.66903	145.05091
10	10162	Location 112	Area 13	Region 1	4	other	1210000	Sold	27-05-2017	4.0	Seller 1	86	4	2	2.0	425	140.0	1920.0	-37.76262	144.97733
11	11268	Location 6	Area 5	Region 2	3	duplex	451500	NotSold	15-07-2017	9.4	Seller 30	6	3	1	1.0	180	88.0	1965.0	-37.83648	144.86296
12	13348	Location 14	Area 20	Region 3	5	other	2800000	Sold	26-08-2017	9.7	Seller 9	13	5	2	2.0	1173	0.0	1960.0	-37.80385	145.09094
13	7161	Location 125	Area 9	Region 3	4	other	1641000	Sold	28-08-2016	12.1	Seller 46	27	3	1	1.0	560			-37.8897	145.0709
14	7626	Location 112	Area 13	Region 1	1	other	1185000	Sold	13-05-2017	4.5	Seller 106	86	1	1	0.0	365			-37.7667	144.9802
15	4339	Location 76	Area 16	Region 1	2	duplex	540000	Sold	03-12-2016	2.3	Seller 3	63	2	1	1.0	0	65.0	1970.0	-37.7994	144.9464
16	7411	Location 139	Area 5	Region 2	5	other	2000000	NotSold	25-02-2017	12.7	Seller 22	5	4	3	4.0	697		2005.0	-37.8664	144.8416
17	7681	Location 25	Area 7	Region 3	3	other	1861000	Sold	13-05-2017	7.8	Seller 9	24	3	2	2.0	324			-37.8418	145.0916
18	9084	Location 154	Area 24	Region 2	3	other	600000	Sold	03-06-2017	14.8	Seller 12	100	3	1	3.0	406	196.0	2005.0	-37.72484	144.74296
19	4344	Location 76	Area 16	Region 1	2	townhouse	841000	Sold	04-03-2017	2.3	Seller 3	63	2	1	1.0	215	0.0	2000.0	-37.7953	144.9437
20	6439	Location 103	Area 15	Region 1	3	other	1000000	Sold	04-03-2017	14.9	Seller 137	81	3	2	2.0	739			-37.7104	145.0817
21	11455	Location 75	Area 2	Region 2	4	other	950000	NotSold	15-07-2017	10.4	Seller 2	2	4	1	2.0	558	148.0	1970.0	-37.73834	144.88197
22	9453	Location 21	Area 13	Region 1	3	other	1925000	NotSold	17-06-2017	5.2	Seller 47	20	3	1	4.0	479	182.0	1925.0	-37.77694	144.96669
23	7655	Location 23	Area 14	Region 4	3	other	794000	Sold	20-05-2017	11.8	Seller 12	22	3	1	0.0	353			-37.7618	145.0847
24	2980	Location 51	Area 13	Region 1	4	other	700000	Sold	10-09-2016	12.1	Seller 12	44	2	2	2.0	700	168.0	1950.0	-37.7056	144.9384
25	12012	Location 169	Area 28	Region 5	3	other	655000	NotSold	29-07-2017	38.0	Seller 128	115	3	2	1.0	680			-38.14016	145.13583
26	6031	Location 96	Area 18	Region 2	3	other	650000	NotSold	14-05-2016	13.3	Seller 166	77	3	1	1.0	611			-37.7724	144.8413
27	950	Location 16	Area 9	Region 3	3	townhouse	670000	NotSold	27-11-2016	13.9	Seller 70	15	3	1	2.0	233			-37.9376	145.0784
28	12984	Location 48	Area 20	Region 3	3	other	1390000	NotSold	19-08-2017	7.3	Seller 3	43	3	2	1.0	303	150.0	1940.0	-37.85678	145.05555
29	1282	Location 21	Area 13	Region 1	2	other	1100000	Sold	10-09-2016	5.2	Seller 2	20	2	1	0.0	153		1900.0	-37.7705	144.9647
30	13104	Location 144	Area 20	Region 4	3	other	800000	Sold	23-09-2017	23.2	Seller 28	95	3	2	5.0	931			-37.82534	145.29921
31	9529	Location 41	Area 2	Region 2	4	townhouse	970000	Sold	17-06-2017	7.5	Seller 2	38	4	2	2.0	0	142.0	2003.0	-37.74541	144.89844
32	6279	Location 100	Area 4	Region 1	2	other	1085000	Sold	15-10-2016	6.5	Seller 2	79	2	1	2.0	303	102.0	1930.0	-37.7569	144.9914
33	8439	Location 98	Area 7	Region 3	2	other	1250000	NotSold	20-05-2017	11.2	Seller 45	59	2	2	1.0	323	96.0	1980.0	-37.823	145.0993
34	1121	Location 19	Area 12	Region 3	4	other	2800000	Sold	18-03-2017	11.2	Seller 1	18	4	2	4.0	569	229.0	1910.0	-37.8962	145.0011
35	526	Location 13	Area 7	Region 3	3	other	700000	NotSold	07-05-2016	9.7	Seller 9	12	3	1	1.0	188	110.0	1970.0	-37.8065	145.065
36	5843	Location 93	Area 3	Region 3	2	duplex	575000	Sold	18-06-2016	6.1	Seller 21	76	2	2	1.0	0	78.0	2013.0	-37.8562	144.9844
37	6546	Location 105	Area 5	Region 2	3	other	1482500	Sold	27-06-2016	8.0	Seller 31	83	3	2	1.0	506	139.0	1910.0	-37.8592	144.888
38	11367	Location 168	Area 10	Region 4	2	other	1020000	Sold	15-07-2017	15.4	Seller 43	114	2	1	1.0	581	116.4	1970.0	-37.84207	145.17795
39	7381	Location 135	Area 5	Region 2	3	other	985000	Sold	12-06-2016	9.1	Seller 36	62	3	1	5.0	669	124.0	1950.0	-37.8321	144.8736
40	2164	Location 37	Area 14	Region 4	2	duplex	522500	Sold	18-06-2016	13.9	Seller 41	34	2	1	1.0	145			-37.7874	145.1043
41	3148	Location 54	Area 7	Region 3	3	other	2325000	Sold	10-09-2016	4.6	Seller 3	47	3	2	1.0	373			-37.8281	145.0391
42	12656	Location 226	Area 20	Region 5	4	townhouse	1830000	Sold	16-09-2017	27.0	Seller 19	152	4	3	2.0	353	222.0	2004.0	-38.06189	145.11766
43	2876	Location 49	Area 13	Region 1	3	other	670000	Sold	06-08-2016	13.0	Seller 52	44	3	1	1.0	652			-37.7062	144.9261
44	2607	Location 45	Area 1	Region 1	3	other	1300000	Sold	27-11-2016	3.5	Seller 19	31	3	1	0.0	309			-37.776	144.9832
45	1204	Location 20	Area 12	Region 3	5	other	1915000	Sold	13-08-2016	10.7	Seller 21	19	5	2	0.0	645	238.0	1970.0	-37.9175	145.0116
46	12030	Location 54	Area 7	Region 3	2	duplex	840000	Sold	29-07-2017	5.3	Seller 46	47	2	1	1.0	974		1960.0	-37.81494	145.01744
47	491	Location 12	Area 3	Region 3	1	duplex	280000	NotSold	07-05-2016	6.6	Seller 19	11	1	1	1.0	0			-37.8733	144.997
48	7996	Location 57	Area 8	Region 3	3	townhouse	998000	Sold	08-04-2017	13.0	Seller 43	49	3	2	2.0	246		2000.0	-37.9031	145.0804
49	10156	Location 21	Area 13	Region 1	3	other	1700000	NotSold	27-05-2017	5.2	Seller 2	20	3	2	0.0	200			-37.77494	144.9697
50	10725	Location 62	Area 7	Region 3	3	townhouse	1205000	Sold	08-07-2017	5.4	Seller 240	53	3	2	2.0	257			-37.81317	145.05993
51	7088	Location 123	Area 4	Region 1	3	duplex	480000	NotSold	03-12-2016	12.4	Seller 110	93	3	2	1.0	218	110.0	2004.0	-37.7133	145.0374
52	521	Location 13	Area 7	Region 3	5	other	2800000	NotSold	04-06-2016	9.7	Seller 9	12	5	3	2.0	678	349.0	2001.0	-37.8048	145.0708
53	4544	Location 79	Area 17	Region 5	4	other	876000	Sold	04-02-2016	14.7	Seller 21	65	4	2	1.0	535			-37.9384	145.0878
54	7259	Location 127	Area 11	Region 2	2	other	705000	Sold	22-05-2016	8.2	Seller 33	56	2	1	1.0	308			-37.7908	144.8717
55	6970	Location 119	Area 7	Region 3	2	other	1585000	Sold	10-12-2016	7.5	Seller 3	91	2	1	2.0	390	102.0	1935.0	-37.8322	145.0486
56	3848	Location 67	Area 6	Region 3	1	duplex	350000	NotSold	10-12-2016	11.2	Seller 20	57	1	1	1.0	0	117.0	1975.0	-37.8769	145.0471
57	6798	Location 112	Area 13	Region 1	3	other	910000	Sold	24-09-2016	4.5	Seller 3	86	2	1	1.0	231		1900.0	-37.7759	144.976
58	5078	Location 85	Area 4	Region 1	3	townhouse	530000	NotSold	08-10-2016	11.2	Seller 2	71	3	2	1.0	229	130.0	2008.0	-37.7036	145.0145
59	7465	Location 8	Area 2	Region 2	2	other	1020000	NotSold	13-05-2017	5.9	Seller 2	8	2	1	1.0	226	98.0	1920.0	-37.7761	144.9165
60	6765	Location 112	Area 13	Region 1	2	duplex	675000	Sold	04-03-2017	4.5	Seller 2	86	2	2	1.0	0			-37.7753	144.9725
61	7532	Location 16	Area 9	Region 3	4	other	1292000	Sold	29-04-2017	13.9	Seller 46	15	4	1	2.0	587	161.0	1950.0	-37.9194	145.057
62	2865	Location 48	Area 6	Region 3	2	duplex	460000	NotSold	30-07-2016	9.2	Seller 19	43	2	1	1.0	0			-37.8578	145.0537
63	2252	Location 39	Area 9	Region 3	3	other	1605000	Sold	27-11-2016	8.5	Seller 1	36	3	1	1.0	418	152.0	1890.0	-37.8831	145.0153
64	457	Location 11	Area 2	Region 2	3	other	725000	NotSold	15-10-2016	10.5	Seller 55	10	3	1	4.0	606			-37.752	144.854
65	1868	Location 32	Area 8	Region 3	3	other	992000	Sold	15-10-2016	13.6	Seller 44	30	3	1	2.0	586			-37.8805	145.0978
66	12240	Location 20	Area 20	Region 3	4	other	2515000	Sold	03-09-2017	10.3	Seller 9	19	4	2	2.0	583	323.0	1925.0	-37.90953	145.0155
67	6823	Location 115	Area 16	Region 1	3	other	1590000	NotSold	07-05-2016	1.8	Seller 46	88	2	2	2.0	100	106.0	1900.0	-37.7983	144.9655
68	4230	Location 74	Area 5	Region 2	3	other	776000	Sold	12-11-2016	8.4	Seller 22	62	3	1	3.0	363			-37.8476	144.8673
